D_0,1378064.94,431833.585,-4.741
D_1,1378076.351999999955297,431838.223999999987427,-4.498000000000000
D_2,1378101.318999999668449,431845.713999999978114,-4.299000000000001
D_3,1378119.716999999945983,431850.950000000069849,-4.105000000000001
D_4,1378214.325999999884516,431879.780000000027940,-2.982000000000000
D_5,1378350.862999999895692,431920.934000000066590,-2.330000000000000
D_6,1378442.094000000040978,431947.840000000025611,-2.434000000000000
D_7,1378487.756999999983236,431961.816999999980908,-2.952000000000000
D_8,1378578.882999999681488,431988.688000000023749,-4.705000000000000
D_9,1378669.996000000042841,432015.615999999979977,-7.894000000000000
D_10,1378715.522000000113621,432029.662000000011176,-9.926000000000000
D_11,1378805.227999999886379,432055.398999999975786,-13.865000000000000
D_12,1378848.696999999927357,432068.706000000005588,-15.632000000000000
D_13,1378850.777000000001863,432069.768999999971129,-15.603000000000000
D_14,1378852.289000000106171,432071.124000000010710,-15.695000000000000
D_15,1378853.344999999972060,432073.042000000015832,-15.699999999999999
D_16,1378853.753999999957159,432075.759000000020023,-15.856000000000000
D_17,1378853.613999999826774,432078.359999999986030,-15.907000000000000
D_18,1378849.727999999886379,432096.879000000015367,-16.443000000000001
D_19,1378844.865999999921769,432115.135999999998603,-16.788000000000000
D_20,1378816.236000000033528,432205.684999999997672,-18.631000000000000
D_21,1378796.644000000087544,432265.750000000000000,-19.175999999999998
D_22,1378785.824999999953434,432302.870999999984633,-19.347999999999999
D_23,1378776.291999999899417,432333.807000000029802,-19.129999999999999
D_24,1378758.963000000221655,432386.554000000003725,-18.154000000000000
D_25,1378746.293999999994412,432428.045999999914784,-17.111000000000001
D_26,1378738.943999999901280,432448.592000000004191,-16.603000000000002
D_27,1378737.317000000039116,432452.169999999983702,-16.468000000000000
D_28,1378734.911000000080094,432454.943000000028405,-16.506000000000000
D_29,1378730.753000000026077,432456.673999999999069,-16.593000000000000
D_30,1378726.523999999975786,432455.681999999971595,-16.867000000000001
D_31,1378724.111999999964610,432453.394999999960419,-16.978000000000002
D_32,1378698.114999999990687,432413.810999999986961,-18.853999999999999
D_33,1378674.353999999817461,432376.086000000068452,-19.658000000000001
D_34,1378626.962999999988824,432304.136999999987893,-18.419000000000000
D_35,1378580.604000000050291,432237.070999999996275,-15.166000000000000
D_36,1378534.871999999973923,432174.375000000000000,-10.999000000000001
D_37,1378442.281999999890104,432045.445000000006985,-4.182000000000001
D_38,1378411.397000000113621,432009.216000000014901,-3.478000000000000
D_39,1378401.198000000091270,431995.119000000006054,-3.275000000000000
D_40,1378395.415999999968335,431984.983000000065658,-3.121000000000000
D_41,1378391.112999999895692,431980.533999999985099,-2.933000000000000
D_42,1378385.865999999921769,431979.798000000067987,-2.947000000000000
D_43,1378382.068999999901280,431982.208999999973457,-3.003000000000000
D_44,1378379.145999999716878,431987.315999999991618,-3.081000000000000
D_45,1378373.127000000094995,432004.764000000024680,-3.207000000000000
D_46,1378319.425999999744818,432178.173999999999069,-4.839000000000000
D_47,1378287.891999999992549,432282.517999999981839,-5.239000000000000
D_48,1378266.908000000054017,432350.629000000073574,-5.997000000000000
D_49,1378265.412000000011176,432356.043999999994412,-6.172000000000000
